,potentialid,contract_city,contract_state,address,retailer_id,approval_date,expiry_date,cf_pot_nganh_hang,lat,lng,House_number,Street,Ward,District,City,progress
510,,,,,,,,,10.75358,106.69536,20,Đường Nguyễn Khoái,Phường 2,Quận 4,Hồ Chí Minh,True
511,,,,,,,,,10.75997,106.69612,,Đường Bến Vân Đồn,Phường 2,Quận 4,Hồ Chí Minh,True
512,,,,,,,,,10.75395,106.6986,,Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
513,,,,,,,,,10.75522,106.68968,360G,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
514,,,,,,,,,10.76353,106.70062,,Hẻm 129 Nguyễn Hữu Hào,Phường 6,Quận 4,Hồ Chí Minh,True
515,,,,,,,,,14.36398,108.96774,,,,Huyện Hoài Ân,Bình Định,True
516,,,,,,,,,10.75937,106.69934,97,Đường Số 45,Phường 6,Quận 4,Hồ Chí Minh,True
517,,,,,,,,,10.8443,106.64787,266/3,Hẻm 8 Đường Số 10,Phường 8,Quận Gò Vấp,Hồ Chí Minh,True
518,,,,,,,,,10.7663,106.70657,40,Đường Nguyễn Tất Thành,Phường 13,Quận 4,Hồ Chí Minh,True
519,,,,,,,,,10.75486,106.70164,73/5,Hẻm 73 Khánh Hội,Phường 3,Quận 4,Hồ Chí Minh,True
520,,,,,,,,,10.75958,106.70978,534,Hẻm 5 Đường Đoàn Văn Bơ,Phường 14,Quận 4,Hồ Chí Minh,True
521,,,,,,,,,10.75375,106.69769,243/32A,Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
522,,,,,,,,,10.75425,106.7098,92B/17/2BIS,Hẻm 92B/17 Tôn Thất Thuyết,Phường 15,Quận 4,Hồ Chí Minh,True
523,,,,,,,,,10.75665,106.70332,22,Đường Số 13,Phường 4,Quận 4,Hồ Chí Minh,True
524,,,,,,,,,10.7627,106.70036,,Đường Nguyễn Hữu Hào,Phường 6,Quận 4,Hồ Chí Minh,True
525,,,,,,,,,,,,,,,,True
526,,,,,,,,,10.7574,106.64018,39/35/1/14,Hẻm 39/35 Phú Thọ,Phường 1,Quận 11,Hồ Chí Minh,True
527,,,,,,,,,10.86667,106.62718,,,Phường Tân Chánh Hiệp,Quận 12,Hồ Chí Minh,True
528,,,,,,,,,10.76605,106.70344,20,Đường Nguyễn Trường Tộ,Phường 13,Quận 4,Hồ Chí Minh,True
529,,,,,,,,,10.76605,106.70344,20,Đường Nguyễn Trường Tộ,Phường 13,Quận 4,Hồ Chí Minh,True
530,,,,,,,,,,,,,,,,True
531,,,,,,,,,10.76012,106.70719,67,Đường Tôn Đản,Phường 14,Quận 4,Hồ Chí Minh,True
532,,,,,,,,,10.75794,106.70982,576/107,Hẻm 576 Đoàn Văn Bơ,Phường 14,Quận 4,Hồ Chí Minh,True
533,,,,,,,,,10.75549,106.69437,74,Đường Nguyễn Khoái,Phường 2,Quận 4,Hồ Chí Minh,True
534,,,,,,,,,10.7607,106.70345,662,Đường Vĩnh Khánh,Phường 10,Quận 4,Hồ Chí Minh,True
535,,,,,,,,,10.75323,106.69526,9,Đường Nguyễn Khoái,Phường 1,Quận 4,Hồ Chí Minh,True
536,,,,,,,,,10.76292,106.69985,129/2/14,Hẻm 129 Nguyễn Hữu Hào,Phường 6,Quận 4,Hồ Chí Minh,True
537,,,,,,,,,10.43781,106.73774,,,Xã Gia Thuận,Huyện Gò Công Đông,Tiền Giang,True
538,,,,,,,,,10.76081,106.69845,F48,Đường Số 50,Phường 6,Quận 4,Hồ Chí Minh,True
539,,,,,,,,,,,,,,,,True
540,,,,,,,,,10.76469,106.70229,11,Đường Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
541,,,,,,,,,10.75594,106.70688,243/44,Hẻm 243 Tôn Đản,Phường 15,Quận 4,Hồ Chí Minh,True
542,,,,,,,,,10.76235,106.70426,168/33,Hẻm 168 Đoàn Văn Bơ,Phường 9,Quận 4,Hồ Chí Minh,True
543,,,,,,,,,10.75385,106.70057,15,Hẻm 195 Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
544,,,,,,,,,10.76264,106.70294,199,Đường Hoàng Diệu,Phường 8,Quận 4,Hồ Chí Minh,True
545,,,,,,,,,10.68891,107.77244,,,Xã Tân Bình,Thị Xã La Gi,Bình Thuận,True
546,,,,,,,,,10.75773,106.70053,11A,Đường Số 45,Phường 6,Quận 4,Hồ Chí Minh,True
547,,,,,,,,,10.7626,106.70484,186,Đường Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
548,,,,,,,,,10.75619,106.70474,107,Đường Vĩnh Hội,Phường 4,Quận 4,Hồ Chí Minh,True
549,,,,,,,,,10.75888,106.711,240,Đường Đoàn Văn Bơ,Phường 14,Quận 4,Hồ Chí Minh,True
550,,,,,,,,,10.78428,106.66937,599,Đường Cách Mạng Tháng 8,Phường 15,Quận 10,Hồ Chí Minh,True
551,,,,,,,,,10.75758,106.70064,7,Đường Số 45,Phường 6,Quận 4,Hồ Chí Minh,True
552,,,,,,,,,10.75959,106.70598,12,Hẻm 148/12 Tôn Đản,Phường 8,Quận 4,Hồ Chí Minh,True
553,,,,,,,,,10.75792,106.70039,29,Đường Số 45,Phường 6,Quận 4,Hồ Chí Minh,True
554,,,,,,,,,10.75434,106.69872,209/23,Hẻm 209 Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
555,,,,,,,,,10.76147,106.70441,198/195,Hẻm 198 Đoàn Văn Bơ,Phường 10,Quận 4,Hồ Chí Minh,True
556,,,,,,,,,10.75331,106.71167,78,Đường Tôn Thất Thuyết,Phường 16,Quận 4,Hồ Chí Minh,True
557,,,,,,,,,10.76216,106.70424,178/34,Hẻm 178 Đoàn Văn Bơ,Phường 9,Quận 4,Hồ Chí Minh,True
558,,,,,,,,,10.7565,106.6918,346,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
559,,,,,,,,,10.76184,106.70156,198,Đường Hoàng Diệu,Phường 9,Quận 4,Hồ Chí Minh,True
560,,,,,,,,,10.75843,106.71482,448A,Đường Nguyễn Tất Thành,Phường 18,Quận 4,Hồ Chí Minh,True
561,,,,,,,,,,,,,,,,True
562,,,,,,,,,10.75679,106.70322,13,Đường Số 13,Phường 4,Quận 4,Hồ Chí Minh,True
563,,,,,,,,,10.76123,106.70534,441,Đường Vĩnh Khánh,Phường 10,Quận 4,Hồ Chí Minh,True
564,,,,,,,,,10.76431,106.70177,,Hẻm 20 Đoàn Văn Bơ,Phường 9,Quận 4,Hồ Chí Minh,True
565,,,,,,,,,10.75611,106.71246,756/78/22,Hẻm 756 Đường Đoàn Văn Bơ,Phường 16,Quận 4,Hồ Chí Minh,True
566,,,,,,,,,10.7587,106.70059,37,Đường Số 41,Phường 6,Quận 4,Hồ Chí Minh,True
567,,,,,,,,,10.79587,106.6233,119C,Đường Gò Dầu,Phường Tân Quý,Quận Tân Phú,Hồ Chí Minh,True
568,,,,,,,,,10.75979,106.71269,396/1,Hẻm 396 Nguyễn Tất Thành,Phường 18,Quận 4,Hồ Chí Minh,True
569,,,,,,,,,,,,,,,,True
570,,,,,,,,,,,,,,,,True
571,,,,,,,,,10.84288,106.65471,8,Đường Nguyễn Văn Khối,Phường 8,Quận Gò Vấp,Hồ Chí Minh,True
572,,,,,,,,,10.86091,106.68614,4,Quốc Lộ 1A,Phường An Phú Đông,Quận 12,Hồ Chí Minh,True
573,,,,,,,,,10.76195,106.69787,169,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
574,,,,,,,,,16.07959,108.22137,16,Đường Phan Bội Châu,Phường Thạch Thang,Quận Hải Châu,Đà Nẵng,True
575,,,,,,,,,10.84836,106.76662,12,Đường Chu Mạnh Trinh,Phường Bình Thọ,Thủ Đức,Hồ Chí Minh,True
576,,,,,,,,,10.7562,106.70493,115,Đường Vĩnh Hội,Phường 4,Quận 4,Hồ Chí Minh,True
577,,,,,,,,,10.76142,106.70271,237/42/5,Đường Vĩnh Khánh,Phường 8,Quận 4,Hồ Chí Minh,True
578,,,,,,,,,,,,,,,,True
579,,,,,,,,,,,,,,,,True
580,,,,,,,,,10.75375,106.69499,23,Đường Nguyễn Khoái,Phường 2,Quận 4,Hồ Chí Minh,True
581,,,,,,,,,10.75707,106.69532,277/54,Đường Bến Vân Đồn,Phường 2,Quận 4,Hồ Chí Minh,True
582,,,,,,,,,10.75364,106.69706,262/74A,Hẻm 262 Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
583,,,,,,,,,10.75902,106.70676,142,Đường Tôn Đản,Phường 14,Quận 4,Hồ Chí Minh,True
584,,,,,,,,,10.86388,106.8081,2,Đường Số 138,Phường Tân Phú,Thủ Đức,Hồ Chí Minh,True
585,,,,,,,,,10.7568,106.70625,233,Đường Tôn Đản,Phường 15,Quận 4,Hồ Chí Minh,True
586,,,,,,,,,,,,,,,,True
587,,,,,,,,,10.75823,106.70062,15,Đường Số 34,Phường 6,Quận 4,Hồ Chí Minh,True
588,,,,,,,,,,,,,,,,True
589,,,,,,,,,10.75878,106.70265,65,Hẻm 129F/186 Bến Vân Đồn,Phường 8,Quận 4,Hồ Chí Minh,True
590,,,,,,,,,10.75439,106.71549,B134/35,Hẻm B144 Nguyễn Thần Hiến,Phường 18,Quận 4,Hồ Chí Minh,True
591,,,,,,,,,10.76117,106.70758,29,Đường Tôn Đản,Phường 13,Quận 4,Hồ Chí Minh,True
592,,,,,,,,,10.76115,106.69982,,Đường Cư Xá Vĩnh Hội,,Quận 4,Hồ Chí Minh,True
593,,,,,,,,,10.75329,106.70165,193,Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
594,,,,,,,,,10.78536,106.65105,,Đường Lạc Long Quân,Phường 8,Quận Tân Bình,Hồ Chí Minh,True
595,,,,,,,,,10.75927,106.69537,,Hẻm 254 Bến Vân Đồn,Phường 2,Quận 4,Hồ Chí Minh,True
596,,,,,,,,,10.7606,106.70167,Q28,Đường Nguyễn Hữu Hào,Phường 8,Quận 4,Hồ Chí Minh,True
597,,,,,,,,,10.76381,106.62798,58/30,Hẻm 58 Lương Thế Vinh,Phường Tân Thới Hòa,Quận Tân Phú,Hồ Chí Minh,True
598,,,,,,,,,10.74181,106.6706,,Đường Đông Hồ,Phường 4,Quận 8,Hồ Chí Minh,True
599,,,,,,,,,10.75437,106.69867,209/26B,Hẻm 209 Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
600,,,,,,,,,9.93937,106.34319,5,Đường Khóm 4 Phường 4,Phường 4,Trà Vinh,Trà Vinh,True
601,,,,,,,,,10.78395,106.6243,5,Đường Phạm Vấn,Phường Phú Thọ Hòa,Quận Tân Phú,Hồ Chí Minh,True
602,,,,,,,,,10.80662,106.68704,39A,Đường Nguyễn Văn Đậu,Phường 6,Quận Bình Thạnh,Hồ Chí Minh,True
603,,,,,,,,,10.75973,106.69992,99,Đường Tân Vĩnh,Phường 6,Quận 4,Hồ Chí Minh,True
604,,,,,,,,,10.7593,106.69945,C2,Đường Số 45,Phường 6,Quận 4,Hồ Chí Minh,True
605,,,,,,,,,10.89203,106.70413,77C,Đại Lộ Bình Dương,Phường Lái Thiêu,Thuận An,Bình Dương,True
606,,,,,,,,,10.75602,106.70469,118,Đường Vĩnh Hội,Phường 4,Quận 4,Hồ Chí Minh,True
607,,,,,,,,,10.7565,106.6918,346,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
608,,,,,,,,,10.75691,106.70452,21,Đường Số 21,Phường 4,Quận 4,Hồ Chí Minh,True
609,,,,,,,,,10.75298,106.69169,1,Đường Tôn Thất Thuyết,Phường 1,Quận 4,Hồ Chí Minh,True
610,,,,,,,,,10.76213,106.70226,237,Đường Hoàng Diệu,Phường 8,Quận 4,Hồ Chí Minh,True
611,,,,,,,,,10.21117,106.60791,,,Xã Phú Long,Huyện Bình Đại,Bến Tre,True
612,,,,,,,,,10.74071,106.63955,615B,Đường Phạm Văn Chí,Phường 8,Quận 6,Hồ Chí Minh,True
613,,,,,,,,,10.81813,106.70551,242/2B,Đường Nguyễn Xí,Phường 13,Quận Bình Thạnh,Hồ Chí Minh,True
614,,,,,,,,,10.82456,106.6859,99,Đường Nguyễn Văn Nghi,Phường 4,Quận Gò Vấp,Hồ Chí Minh,True
615,,,,,,,,,10.75334,106.69538,144/19,Đường Nguyễn Khoái,Phường 1,Quận 4,Hồ Chí Minh,True
616,,,,,,,,,10.75909,106.70222,243/18,Hẻm 243 Đường Hoàng Diệu,Phường 8,Quận 4,Hồ Chí Minh,True
617,,,,,,,,,11.11186,108.13195,,,Xã Hàm Trí,Huyện Hàm Thuận Bắc,Bình Thuận,True
618,,,,,,,,,10.76487,106.70721,98B,Đường Nguyễn Tất Thành,Phường 13,Quận 4,Hồ Chí Minh,True
619,,,,,,,,,10.76524,106.70551,68/16,Hẻm 68 Hoàng Diệu,Phường 13,Quận 4,Hồ Chí Minh,True
620,,,,,,,,,10.75613,106.7076,132/12E,Hẻm 132 Đoàn Văn Bơ,Phường 15,Quận 4,Hồ Chí Minh,True
621,,,,,,,,,10.76235,106.70296,D66,Đường Hoàng Diệu,Phường 8,Quận 4,Hồ Chí Minh,True
622,,,,,,,,,10.75607,106.71252,,Hẻm 756 Đường Đoàn Văn Bơ,Phường 16,Quận 4,Hồ Chí Minh,True
623,,,,,,,,,10.80413,106.63735,2,Đường Tân Kỳ Tân Quý,Phường 15,Quận Tân Bình,Hồ Chí Minh,True
624,,,,,,,,,10.75584,106.70129,113,Đường Khánh Hội,Phường 3,Quận 4,Hồ Chí Minh,True
625,,,,,,,,,,,,,,,,True
626,,,,,,,,,10.04731,105.76987,233/5,Hẻm 233 Nguyễn Văn Cừ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
627,,,,,,,,,10.75594,106.70688,243/44,Hẻm 243 Tôn Đản,Phường 15,Quận 4,Hồ Chí Minh,True
628,,,,,,,,,10.84183,106.66616,318/56/8,Hẻm 318 Thống Nhất,Phường 16,Quận Gò Vấp,Hồ Chí Minh,True
629,,,,,,,,,10.75514,106.69589,64/50/14,Hẻm 64/50 Nguyễn Khoái,Phường 2,Quận 4,Hồ Chí Minh,True
630,,,,,,,,,10.75885,106.70055,77,Đường Tân Vĩnh,Phường 6,Quận 4,Hồ Chí Minh,True
631,,,,,,,,,10.7565,106.6918,346,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
632,,,,,,,,,10.763,106.69852,,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
633,,,,,,,,,10.76056,106.69991,277,Đường Hoàng Diệu,Phường 6,Quận 4,Hồ Chí Minh,True
634,,,,,,,,,10.75905,106.71122,C60,Đường Xóm Chiếu,Phường 18,Quận 4,Hồ Chí Minh,True
635,,,,,,,,,,,,,,,,True
636,,,,,,,,,10.75653,106.70259,9,Đường Số 9,Phường 4,Quận 4,Hồ Chí Minh,True
637,,,,,,,,,10.28563,104.64465,17,Đường Mạc Cửu,Thị Trấn Kiên Lương,Huyện Kiên Lương,Kiên Giang,True
638,,,,,,,,,10.75907,106.71075,,Hẻm 576 Đoàn Văn Bơ,Phường 14,Quận 4,Hồ Chí Minh,True
639,,,,,,,,,10.75654,106.70289,,Đường Số 2,Phường 4,Quận 4,Hồ Chí Minh,True
640,,,,,,,,,10.75469,106.69213,M1,Đường Tôn Thất Thuyết,Phường 1,Quận 4,Hồ Chí Minh,True
641,,,,,,,,,10.75333,106.71432,1,Đường Tôn Thất Thuyết,Phường 16,Quận 4,Hồ Chí Minh,True
642,,,,,,,,,10.75327,106.70772,,Đường Tôn Thất Thuyết,Phường 15,Quận 4,Hồ Chí Minh,True
643,,,,,,,,,10.75825,106.71086,B95,Đường Xóm Chiếu,Phường 16,Quận 4,Hồ Chí Minh,True
644,,,,,,,,,10.7652,106.7068,106,Đường Hoàng Diệu,Phường 13,Quận 4,Hồ Chí Minh,True
645,,,,,,,,,,,,,,,,True
646,,,,,,,,,,,,,,,,True
647,,,,,,,,,,,,,,,,True
648,,,,,,,,,10.7565,106.6918,346,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
649,,,,,,,,,10.75577,106.69014,346,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
650,,,,,,,,,10.76243,106.7082,4,Đường Tôn Đản,Phường 13,Quận 4,Hồ Chí Minh,True
651,,,,,,,,,10.75445,106.69452,45,Đường Nguyễn Khoái,Phường 2,Quận 4,Hồ Chí Minh,True
652,,,,,,,,,,,,,,,,True
653,,,,,,,,,10.76286,106.69891,151-155,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
654,,,,,,,,,10.75468,106.68916,S360/5,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
655,,,,,,,,,10.76344,106.70495,13,Hẻm 130 Lê Quốc Hưng,Phường 13,Quận 4,Hồ Chí Minh,True
656,,,,,,,,,10.75441,106.71393,4,Đường Tôn Thất Thuyết,Phường 16,Quận 4,Hồ Chí Minh,True
657,,,,,,,,,,,,,,,,True
658,,,,,,,,,10.7565,106.6918,346,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
659,,,,,,,,,10.76111,106.70766,25,Đường Tôn Đản,Phường 13,Quận 4,Hồ Chí Minh,True
660,,,,,,,,,10.76255,106.70358,134/43,Hẻm 134 Đoàn Văn Bơ,Phường 9,Quận 4,Hồ Chí Minh,True
661,,,,,,,,,10.76717,106.70586,6,Đường Nguyễn Tất Thành,Phường 13,Quận 4,Hồ Chí Minh,True
662,,,,,,,,,10.76317,106.6642,137/18,Hẻm 137 Ngô Quyền,Phường 6,Quận 10,Hồ Chí Minh,True
663,,,,,,,,,10.7529,106.69832,44J,Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
664,,,,,,,,,10.75399,106.71468,,Hẻm 58 Đường Tôn Thất Thuyết,Phường 18,Quận 4,Hồ Chí Minh,True
665,,,,,,,,,10.7642,106.70157,20/118BIS,Hẻm 20 Đoàn Văn Bơ,Phường 9,Quận 4,Hồ Chí Minh,True
666,,,,,,,,,10.76234,106.70745,12,Đường Tôn Đản,Phường 13,Quận 4,Hồ Chí Minh,True
667,,,,,,,,,,,,,,,,True
668,,,,,,,,,10.76286,106.69891,151-155,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
669,,,,,,,,,10.76471,106.70226,9,Đường Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
670,,,,,,,,,10.75469,106.69213,M1,Đường Tôn Thất Thuyết,Phường 1,Quận 4,Hồ Chí Minh,True
671,,,,,,,,,10.7565,106.6918,346,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
672,,,,,,,,,10.76266,106.69848,155,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
673,,,,,,,,,10.75954,106.69567,241,Đường Bến Vân Đồn,Phường 2,Quận 4,Hồ Chí Minh,True
674,,,,,,,,,10.76429,106.70216,30/7,Hẻm 30 Đoàn Văn Bơ,Phường 9,Quận 4,Hồ Chí Minh,True
675,,,,,,,,,10.75819,106.70057,13,Đường Số 34,Phường 6,Quận 4,Hồ Chí Minh,True
676,,,,,,,,,10.75395,106.6986,,Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
677,,,,,,,,,10.75323,106.69526,9,Đường Nguyễn Khoái,Phường 1,Quận 4,Hồ Chí Minh,True
678,,,,,,,,,9.77873,105.46556,90,Đường Nguyễn Thái Học,Phường 1,Vị Thanh,Hậu Giang,True
679,,,,,,,,,,,,,,,,True
680,,,,,,,,,10.75615,106.70358,55,Đường Vĩnh Hội,Phường 4,Quận 4,Hồ Chí Minh,True
681,,,,,,,,,10.75568,106.69386,91/2,Hẻm 91 Nguyễn Khoái,Phường 1,Quận 4,Hồ Chí Minh,True
682,,,,,,,,,10.79169,106.67067,459,Đường Huỳnh Văn Bánh,Phường 13,Quận Phú Nhuận,Hồ Chí Minh,True
683,,,,,,,,,10.75547,106.7151,,Hẻm 874 Đoàn Văn Bơ,Phường 16,Quận 4,Hồ Chí Minh,True
684,,,,,,,,,10.76246,106.70624,119,Đường Lê Văn Linh,Phường 13,Quận 4,Hồ Chí Minh,True
685,,,,,,,,,14.87351,108.92812,,,Xã Phổ Thuận,Thị Xã Đức Phổ,Quảng Ngãi,True
686,,,,,,,,,11.57729,108.9924,,Đường Trần Phú,Phường Đài Sơn,Phan Rang-Tháp Chàm,Ninh Thuận,True
687,,,,,,,,,10.75614,106.70294,23,Đường Vĩnh Hội,Phường 4,Quận 4,Hồ Chí Minh,True
688,,,,,,,,,10.75628,106.71659,B416/8,Đường Đoàn Văn Bơ,Phường 16,Quận 4,Hồ Chí Minh,True
689,,,,,,,,,10.7567,106.70984,C192,Đường Xóm Chiếu,Phường 16,Quận 4,Hồ Chí Minh,True
690,,,,,,,,,10.76067,106.69987,K44,Đường Hoàng Diệu,Phường 6,Quận 4,Hồ Chí Minh,True
691,,,,,,,,,10.75297,106.69337,,Đường Tôn Thất Thuyết,Phường 1,Quận 4,Hồ Chí Minh,True
692,,,,,,,,,10.76286,106.69891,151-155,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
693,,,,,,,,,10.75966,106.69997,95,Đường Tân Vĩnh,Phường 6,Quận 4,Hồ Chí Minh,True
694,,,,,,,,,10.7632,106.70065,47/3,Đường Nguyễn Hữu Hào,Phường 6,Quận 4,Hồ Chí Minh,True
695,,,,,,,,,10.84152,106.59746,123/2N,Đường Phan Văn Hớn,Xã Bà Điểm,Huyện Hóc Môn,Hồ Chí Minh,True
696,,,,,,,,,10.75698,106.70528,266/9D,Hẻm 266 Tôn Đản,Phường 4,Quận 4,Hồ Chí Minh,True
697,,,,,,,,,10.75354,106.71432,58/3,Đường Tôn Thất Thuyết,Phường 18,Quận 4,Hồ Chí Minh,True
698,,,,,,,,,10.76234,106.70387,158/30,Hẻm 158 Đoàn Văn Bơ,Phường 9,Quận 4,Hồ Chí Minh,True
699,,,,,,,,,10.82609,106.93937,,,Xã An Phước,Huyện Long Thành,Đồng Nai,True
700,,,,,,,,,10.76471,106.70226,9,Đường Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
701,,,,,,,,,10.75511,106.7058,301,Đường Tôn Đản,Phường 4,Quận 4,Hồ Chí Minh,True
702,,,,,,,,,10.77358,106.68296,2,Đường Số 2,Phường 4,Quận 3,Hồ Chí Minh,True
703,,,,,,,,,34.69062,133.94759,1,,中区,岡山市,,True
704,,,,,,,,,10.35118,107.08602,,Hẻm 197 Nam Kỳ Khởi Nghĩa,Phường 3,Vũng Tàu,Bà Rịa-Vũng Tàu,True
705,,,,,,,,,10.75541,106.70664,,Hẻm 243 Tôn Đản,Phường 15,Quận 4,Hồ Chí Minh,True
706,,,,,,,,,10.7569,106.70577,266/2/10,Hẻm 266/2 Tôn Đản,Phường 15,Quận 4,Hồ Chí Minh,True
707,,,,,,,,,10.80935,106.58898,,Đường Bình Thành,Phường Bình Hưng Hòa B,Quận Bình Tân,Hồ Chí Minh,True
708,,,,,,,,,10.75312,106.70285,184,Đường Tôn Thất Thuyết,Phường 4,Quận 4,Hồ Chí Minh,True
709,,,,,,,,,10.76377,106.70328,,Đường Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
710,,,,,,,,,10.75734,106.71102,B131/5,Hẻm 111 Xóm Chiếu,Phường 16,Quận 4,Hồ Chí Minh,True
711,,,,,,,,,10.75315,106.70229,,Đường Tôn Thất Thuyết,Phường 4,Quận 4,Hồ Chí Minh,True
712,,,,,,,,,10.81004,106.68394,290,Đường Hoàng Hoa Thám,Phường 1,Quận Gò Vấp,Hồ Chí Minh,True
713,,,,,,,,,10.75622,106.70343,45A,Đường Vĩnh Hội,Phường 4,Quận 4,Hồ Chí Minh,True
714,,,,,,,,,10.75506,106.69088,360C,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
715,,,,,,,,,10.85627,106.60783,156/5,Đường Nguyễn Ảnh Thủ,Xã Trung Chánh,Huyện Hóc Môn,Hồ Chí Minh,True
716,,,,,,,,,10.76286,106.69891,151-155,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
717,,,,,,,,,,,,,,,,True
718,,,,,,,,,10.76416,106.70454,,,,Quận 4,Hồ Chí Minh,True
719,,,,,,,,,10.75679,106.70322,13,Đường Số 13,Phường 4,Quận 4,Hồ Chí Minh,True
720,,,,,,,,,10.76377,106.70328,,Đường Đoàn Văn Bơ,,Quận 4,Hồ Chí Minh,True
721,,,,,,,,,10.75366,106.7008,195/2,Hẻm 195 Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
722,,,,,,,,,10.75891,106.71103,,Đường Đoàn Văn Bơ,Phường 14,Quận 4,Hồ Chí Minh,True
723,,,,,,,,,10.76081,106.7077,18,Đường Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
724,,,,,,,,,10.76344,106.69896,,Hẻm 137 Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
725,,,,,,,,,10.75594,106.70688,243/44,Hẻm 243 Tôn Đản,Phường 15,Quận 4,Hồ Chí Minh,True
726,,,,,,,,,10.76266,106.70197,109D/40/40,Đường Vĩnh Khánh,Phường 9,Quận 4,Hồ Chí Minh,True
727,,,,,,,,,10.75626,106.71508,,Đường Đoàn Văn Bơ,Phường 16,Quận 4,Hồ Chí Minh,True
728,,,,,,,,,,,,,,,,True
729,,,,,,,,,10.76368,106.70424,101,Đường Hoàng Diệu,Phường 13,Quận 4,Hồ Chí Minh,True
730,,,,,,,,,10.76412,106.70595,17,Đường Lê Thạch,Phường 13,Quận 4,Hồ Chí Minh,True
731,,,,,,,,,10.76142,106.70271,237/42/5,Đường Vĩnh Khánh,Phường 8,Quận 4,Hồ Chí Minh,True
732,,,,,,,,,10.75956,106.70737,C95/7,Đường Tôn Đản,Phường 14,Quận 4,Hồ Chí Minh,True
733,,,,,,,,,10.75877,106.6981,138,Đường Bến Vân Đồn,Phường 2,Quận 4,Hồ Chí Minh,True
734,,,,,,,,,10.75723,106.70444,61,Đường Số 16,Phường 4,Quận 4,Hồ Chí Minh,True
735,,,,,,,,,10.75308,106.69982,203,Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
736,,,,,,,,,10.76256,106.70283,209,Đường Hoàng Diệu,Phường 8,Quận 4,Hồ Chí Minh,True
737,,,,,,,,,10.70968,106.64255,13C,Đường Nguyễn Văn Linh,Xã Phong Phú,Huyện Bình Chánh,Hồ Chí Minh,True
738,,,,,,,,,10.76365,106.69964,132,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
739,,,,,,,,,10.76274,106.70866,145-147,Đường Nguyễn Tất Thành,Phường 13,Quận 4,Hồ Chí Minh,True
740,,,,,,,,,10.76074,106.70197,R32A,Đường Bến Vân Đồn,Phường 8,Quận 4,Hồ Chí Minh,True
741,,,,,,,,,10.76067,106.69987,K44,Đường Hoàng Diệu,Phường 6,Quận 4,Hồ Chí Minh,True
742,,,,,,,,,10.75469,106.69213,M1,Đường Tôn Thất Thuyết,Phường 1,Quận 4,Hồ Chí Minh,True
743,,,,,,,,,10.76104,106.70061,269,Đường Hoàng Diệu,Phường 6,Quận 4,Hồ Chí Minh,True
