,potentialid,contract_city,contract_state,address,retailer_id,approval_date,expiry_date,cf_pot_nganh_hang,lat,lng,House_number,Street,Ward,District,City,progress
53,,,,,,,,,10.76113,106.70409,198/695,Hẻm V-Y Đoàn Văn Bơ,Phường 10,Quận 4,Hồ Chí Minh,True
54,,,,,,,,,10.83333,106.68901,145/39/5,Hẻm 131 Trần Bá Giao,Phường 5,Quận Gò Vấp,Hồ Chí Minh,True
55,,,,,,,,,10.76365,106.69964,132,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
56,,,,,,,,,10.7616,106.70254,374,Đường Vĩnh Khánh,Phường 8,Quận 4,Hồ Chí Minh,True
57,,,,,,,,,10.58522,105.22984,,,Thị Trấn Vĩnh Thạnh Trung,Huyện Châu Phú,An Giang,True
58,,,,,,,,,,,,,,,,True
59,,,,,,,,,10.75792,106.709,538/85,Hẻm 538 Đoàn Văn Bơ,Phường 14,Quận 4,Hồ Chí Minh,True
60,,,,,,,,,10.75816,106.70088,33,Đường Tân Vĩnh,Phường 4,Quận 4,Hồ Chí Minh,True
61,,,,,,,,,10.76358,106.70797,97,Đường Nguyễn Tất Thành,Phường 13,Quận 4,Hồ Chí Minh,True
62,,,,,,,,,10.75914,106.70689,115,Đường Tôn Đản,Phường 14,Quận 4,Hồ Chí Minh,True
63,,,,,,,,,,,,,,,,True
64,,,,,,,,,10.75909,106.70222,243/18,Hẻm 243 Đường Hoàng Diệu,Phường 8,Quận 4,Hồ Chí Minh,True
65,,,,,,,,,10.75465,106.68932,360C2,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
66,,,,,,,,,10.75617,106.70409,77,Đường Vĩnh Hội,Phường 4,Quận 4,Hồ Chí Minh,True
67,,,,,,,,,10.7565,106.6918,346,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
68,,,,,,,,,10.7549,106.68943,360,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
69,,,,,,,,,10.75718,106.69194,333,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
70,,,,,,,,,11.28823,106.06718,,,,Huyện Châu Thành,Tây Ninh,True
71,,,,,,,,,10.75784,106.70868,132/144,Hẻm 132 Đoàn Văn Bơ,Phường 14,Quận 4,Hồ Chí Minh,True
72,,,,,,,,,10.20886,106.21884,,,Xã Vĩnh Thành,Huyện Chợ Lách,Bến Tre,True
73,,,,,,,,,10.7533,106.70174,189I/5,Hẻm 189I Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
74,,,,,,,,,10.76079,106.70322,128,Đường Vĩnh Khánh,Phường 10,Quận 4,Hồ Chí Minh,True
75,,,,,,,,,10.7608,106.70791,355,Đường Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
76,,,,,,,,,10.17383,103.97081,,Cầu Cửa Lấp,Xã Dương Tơ,Phú Quốc,Kiên Giang,True
77,,,,,,,,,10.7565,106.6918,346,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
78,,,,,,,,,10.76365,106.69964,132,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
79,,,,,,,,,10.76531,106.70394,20/23,Hẻm 20 Nguyễn Trường Tộ,Phường 13,Quận 4,Hồ Chí Minh,True
80,,,,,,,,,,,,,,,,True
81,,,,,,,,,10.75487,106.70248,78/16,Hẻm 78 Khánh Hội,Phường 4,Quận 4,Hồ Chí Minh,True
82,,,,,,,,,10.76473,106.70146,80A,Đường Bến Vân Đồn,Phường 9,Quận 4,Hồ Chí Minh,True
83,,,,,,,,,10.75998,106.69886,384,Đường Hoàng Diệu,Phường 6,Quận 4,Hồ Chí Minh,True
84,,,,,,,,,10.76576,106.70414,20/1,Hẻm 20 Nguyễn Trường Tộ,Phường 13,Quận 4,Hồ Chí Minh,True
85,,,,,,,,,10.89069,106.78428,,,Phường Đông Hòa,Dĩ An,Bình Dương,True
86,,,,,,,,,10.75378,106.71405,B66/14,Hẻm 63 Tôn Thất Thuyết,Phường 16,Quận 4,Hồ Chí Minh,True
87,,,,,,,,,10.76365,106.69964,132,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
88,,,,,,,,,10.75998,106.69886,384,Đường Hoàng Diệu,Phường 6,Quận 4,Hồ Chí Minh,True
89,,,,,,,,,10.76599,106.70242,56,Đường Bến Vân Đồn,Phường 13,Quận 4,Hồ Chí Minh,True
90,,,,,,,,,10.76018,106.70597,122/20A,Hẻm 122 Tôn Đản,Phường 10,Quận 4,Hồ Chí Minh,True
91,,,,,,,,,10.7658,106.70697,9,Đường Nguyễn Tất Thành,Phường 13,Quận 4,Hồ Chí Minh,True
92,,,,,,,,,10.75858,106.69608,254/33/16,Hẻm 254/33 Đường Bên Vân Đồn,Phường 2,Quận 4,Hồ Chí Minh,True
93,,,,,,,,,16.06283,108.23537,102,Đường Phạm Cự Lượng,Phường An Hải Đông,Quận Sơn Trà,Đà Nẵng,True
94,,,,,,,,,,,,,,,,True
95,,,,,,,,,10.76709,106.70363,34-35,Đường Bến Vân Đồn,Phường 13,Quận 4,Hồ Chí Minh,True
96,,,,,,,,,10.75458,106.70857,,Đường Xóm Chiếu,Phường 15,Quận 4,Hồ Chí Minh,True
97,,,,,,,,,10.76005,106.7047,122/27/30/7A,Hẻm 122/27 Tôn Đản,Phường 8,Quận 4,Hồ Chí Minh,True
98,,,,,,,,,10.7998,106.71874,561A,Đường Điện Biên Phủ,Phường 25,Quận Bình Thạnh,Hồ Chí Minh,True
99,,,,,,,,,16.05452,108.18476,58,Đường Nguyễn Đăng,Phường An Khê,Quận Thanh Khê,Đà Nẵng,True
100,,,,,,,,,10.75469,106.69213,M1,Đường Tôn Thất Thuyết,Phường 1,Quận 4,Hồ Chí Minh,True
101,,,,,,,,,,,,,,,,True
102,,,,,,,,,10.76116,106.7023,,Hẻm 129F/121 Đường Bến Vân Đồn,Phường 8,Quận 4,Hồ Chí Minh,True
103,,,,,,,,,10.75315,106.70046,,Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
104,,,,,,,,,10.75791,106.70051,28,Đường Số 45,Phường 6,Quận 4,Hồ Chí Minh,True
105,,,,,,,,,10.76023,106.69811,288,Đường Khánh Hội,Phường 2,Quận 4,Hồ Chí Minh,True
106,,,,,,,,,37.25859,127.01598,,,,Suwon,South Korea,True
107,,,,,,,,,,,,,,,,True
108,,,,,,,,,10.7565,106.6918,346,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
